mindate,maxdate,name,datacoverage,id
1995-05-09,2024-10-23,The Bahamas,0.95,FIPS:BF
1995-01-19,2024-10-23,Canada,0.95,FIPS:CA
1996-11-15,2024-10-23,Cuba,0.95,FIPS:CU
2009-02-26,2024-10-23,Dominican Republic,0.95,FIPS:DR
2017-02-23,2023-08-01,Japan,0.95,FIPS:JA
2017-01-31,2024-10-22,North Korea,0.95,FIPS:KN
2017-01-31,2024-10-22,South Korea,0.95,FIPS:KS
1995-05-09,2024-10-23,Mexico,0.95,FIPS:MX
2001-05-01,2024-10-22,Russia,0.95,FIPS:RS
1994-07-15,2024-10-23,United States,0.95,FIPS:US
2001-05-01,2024-10-23,British Virgin Is.,0.95,FIPS:VI
