mindate,maxdate,name,datacoverage,id
1994-08-15,2024-10-25,Alabama,0.95,FIPS:01
1997-03-20,2024-10-25,Alaska,0.95,FIPS:02
1994-04-27,2024-10-25,Arizona,0.95,FIPS:04
1994-05-17,2024-10-25,Arkansas,0.95,FIPS:05
1995-07-01,2024-10-25,California,0.95,FIPS:06
1994-03-17,2024-10-25,Colorado,0.95,FIPS:08
1995-03-28,2024-10-25,Connecticut,0.95,FIPS:09
1994-06-15,2024-10-25,Delaware,0.95,FIPS:10
1994-06-15,2024-10-25,District of Columbia,0.95,FIPS:11
1994-03-30,2024-10-25,Florida,0.95,FIPS:12
1994-08-15,2024-10-25,Georgia,0.95,FIPS:13
1997-10-16,2024-10-25,Hawaii,0.95,FIPS:15
1995-01-24,2024-10-25,Idaho,0.95,FIPS:16
1994-07-15,2024-10-25,Illinois,0.95,FIPS:17
1995-04-13,2024-10-25,Indiana,0.95,FIPS:18
1994-07-15,2024-10-25,Iowa,0.95,FIPS:19
1994-02-28,2024-10-25,Kansas,0.95,FIPS:20
1994-07-15,2024-10-25,Kentucky,0.95,FIPS:21
1994-03-23,2024-10-25,Louisiana,0.95,FIPS:22
1995-03-28,2024-10-25,Maine,0.95,FIPS:23
1994-06-15,2024-10-25,Maryland,0.95,FIPS:24
1995-03-28,2024-10-25,Massachusetts,0.95,FIPS:25
1995-03-13,2024-10-25,Michigan,0.95,FIPS:26
1995-06-01,2024-10-25,Minnesota,0.95,FIPS:27
1995-04-03,2024-10-25,Mississippi,0.95,FIPS:28
1994-05-17,2024-10-25,Missouri,0.95,FIPS:29
1995-06-08,2024-10-25,Montana,0.95,FIPS:30
1994-07-13,2024-10-25,Nebraska,0.95,FIPS:31
1995-01-24,2024-10-25,Nevada,0.95,FIPS:32
1995-03-28,2024-10-25,New Hampshire,0.95,FIPS:33
1994-06-15,2024-10-25,New Jersey,0.95,FIPS:34
1994-03-17,2024-10-25,New Mexico,0.95,FIPS:35
1995-03-13,2024-10-25,New York,0.95,FIPS:36
1995-02-24,2024-10-25,North Carolina,0.95,FIPS:37
1995-07-24,2024-10-25,North Dakota,0.95,FIPS:38
1995-03-13,2024-10-25,Ohio,0.95,FIPS:39
1992-09-21,2024-10-25,Oklahoma,0.95,FIPS:40
1995-01-24,2024-10-25,Oregon,0.95,FIPS:41
1994-06-15,2024-10-25,Pennsylvania,0.95,FIPS:42
1995-03-28,2024-10-25,Rhode Island,0.95,FIPS:44
1994-08-16,2024-10-25,South Carolina,0.95,FIPS:45
1995-07-19,2024-10-25,South Dakota,0.95,FIPS:46
1995-02-24,2024-10-25,Tennessee,0.95,FIPS:47
1992-09-21,2024-10-25,Texas,0.95,FIPS:48
1995-10-19,2024-10-25,Utah,0.95,FIPS:49
1995-03-28,2024-10-25,Vermont,0.95,FIPS:50
1994-06-15,2024-10-25,Virginia,0.95,FIPS:51
1995-04-26,2024-10-25,Washington,0.95,FIPS:53
1994-06-15,2024-10-25,West Virginia,0.95,FIPS:54
1995-04-13,2024-10-25,Wisconsin,0.95,FIPS:55
1994-07-13,2024-10-25,Wyoming,0.95,FIPS:56
